ANPR08.35 ANPR08.37,0,0
ANPR08.35 ANPR08.38,0,0
ANPR08.35 ANPR1.10,46440,2015
,43306,2290
,44926,2478
ANPR08.35 ANPR1.11,46440,2015
,43306,2290
,44926,2478
ANPR08.35 ANPR1.12,46440,2015
,43306,2290
,44926,2478
ANPR08.35 ANPR1.13,46440,2015
,43306,2290
,44926,2478
ANPR08.35 ANPR10.41,50966,2059
,54287,3389
ANPR08.35 ANPR10.42,50966,2059
,54287,3389
ANPR08.35 ANPR10.43,50966,2059
,54287,3389
ANPR08.35 ANPR10.44,50966,2059
,54287,3389
ANPR08.35 ANPR11.1,6732,458
ANPR08.35 ANPR11.10,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR11.11,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR11.12,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR11.2,6732,458
ANPR08.35 ANPR11.3,6732,458
ANPR08.35 ANPR11.4,6732,458
ANPR08.35 ANPR11.5,6732,458
ANPR08.35 ANPR11.6,6732,458
ANPR08.35 ANPR11.7,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR11.8,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR11.9,5974,512
,7687,573
,9265,636
ANPR08.35 ANPR12.1,58247,2476
,58593,3754
ANPR08.35 ANPR12.2,58247,2476
,58593,3754
ANPR08.35 ANPR13.01,63407,2568
ANPR08.35 ANPR13.02,63407,2568
ANPR08.35 ANPR13.3,63407,2568
ANPR08.35 ANPR13.4,63407,2568
ANPR08.35 ANPR14.01,47228,2335
,45714,2798
ANPR08.35 ANPR14.02,47228,2335
,45714,2798
ANPR08.35 ANPR15.01,46830,2273
,45316,2736
ANPR08.35 ANPR15.02,46830,2273
,45316,2736
ANPR08.35 ANPR15.03,46830,2273
,45316,2736
ANPR08.35 ANPR16.1,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR16.2,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR16.3,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR16.4,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR16.5,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR16.6,3070,336
,4783,397
,4038,534
ANPR08.35 ANPR17.1,16472,1641
,17311,1836
,33112,1773
ANPR08.35 ANPR17.2,16472,1641
,17311,1836
,33112,1773
ANPR08.35 ANPR18.1,40737,2131
,40870,2332
,25607,2442
ANPR08.35 ANPR18.2,40737,2131
,40870,2332
,25607,2442
ANPR08.35 ANPR19.01,6012,624
,5923,703
,5399,693
ANPR08.35 ANPR19.02,6012,624
,5923,703
,5399,693
ANPR08.35 ANPR2.14,41094,2048
,40658,2522
ANPR08.35 ANPR2.15,41094,2048
,40658,2522
ANPR08.35 ANPR20.1,47307,2728
,62788,3504
,50880,3728
ANPR08.35 ANPR20.2,47813,2746
,63294,3521
,51386,3746
ANPR08.35 ANPR20.3,47261,2718
,62742,3493
,50834,3718
ANPR08.35 ANPR20.4,47307,2728
,62788,3504
,50880,3728
ANPR08.35 ANPR21.1,46293,2358
,53580,2464
,60276,3136
ANPR08.35 ANPR21.2,46293,2358
,53580,2464
,60276,3136
ANPR08.35 ANPR21.3,46293,2358
,53580,2464
,60276,3136
ANPR08.35 ANPR21.4,46293,2358
,53580,2464
,60276,3136
ANPR08.35 ANPR21.5,46293,2358
,53580,2464
,60276,3136
ANPR08.35 ANPR22.1,39286,2040
,40069,2187
,24156,2351
ANPR08.35 ANPR22.2,39286,2040
,40069,2187
,24156,2351
ANPR08.35 ANPR22.3,39286,2040
,40069,2187
,24156,2351
ANPR08.35 ANPR23.1,24252,1373
,27514,1837
,30218,1938
ANPR08.35 ANPR23.2,24252,1373
,27514,1837
,30218,1938
ANPR08.35 ANPR23.3,24252,1373
,27514,1837
,30218,1938
ANPR08.35 ANPR23.4,24252,1373
,27514,1837
,30218,1938
ANPR08.35 ANPR23.5,23296,1280
,29262,1845
ANPR08.35 ANPR23.6,24245,1375
,19594,1514
,28883,1856
ANPR08.35 ANPR24.1,46603,2178
,45089,2641
ANPR08.35 ANPR24.2,46718,2195
,45204,2658
ANPR08.35 ANPR24.3,46276,2128
,44762,2591
ANPR08.35 ANPR25.1,12407,1000
,9849,1228
,13363,1292
ANPR08.35 ANPR25.10,13238,1021
,17165,1620
ANPR08.35 ANPR25.11,12205,997
,15033,1460
ANPR08.35 ANPR25.12,12040,952
,15966,1552
ANPR08.35 ANPR25.13,12577,986
,16503,1585
ANPR08.35 ANPR25.14,12087,956
,14915,1419
ANPR08.35 ANPR25.15,12542,986
,21747,1328
,15371,1449
ANPR08.35 ANPR25.16,11781,936
,14609,1399
ANPR08.35 ANPR25.17,11552,923
,15066,1424
ANPR08.35 ANPR25.18,11773,924
,15700,1523
ANPR08.35 ANPR25.19,13764,1094
,20366,1224
,11372,1371
ANPR08.35 ANPR25.2,12014,927
,13456,1287
,11746,1450
ANPR08.35 ANPR25.3,11797,941
,13804,1320
,12094,1482
ANPR08.35 ANPR25.4,12018,953
,10079,1240
,13593,1304
ANPR08.35 ANPR25.5,11915,926
,14743,1389
ANPR08.35 ANPR25.6,12465,988
,9943,1264
,13457,1328
ANPR08.35 ANPR25.7,12343,964
,9821,1240
,13335,1304
ANPR08.35 ANPR25.8,11788,917
,13915,1347
ANPR08.35 ANPR25.9,11528,900
,14056,1356
ANPR08.35 ANPR26.1,12595,1346
,13434,1541
,14223,1580
ANPR08.35 ANPR26.2,12595,1346
,13434,1541
,14223,1580
ANPR08.35 ANPR26.3,12595,1346
,13434,1541
,14223,1580
ANPR08.35 ANPR26.4,12595,1346
,13434,1541
,14223,1580
ANPR08.35 ANPR27.1,16145,1616
,32130,1719
,17892,1870
ANPR08.35 ANPR27.2,16145,1616
,32130,1719
,17892,1870
ANPR08.35 ANPR27.3,16145,1616
,32130,1719
,17892,1870
ANPR08.35 ANPR27.4,16145,1616
,32130,1719
,17892,1870
ANPR08.35 ANPR28.1,58837,2533
,66105,3138
,60867,3547
ANPR08.35 ANPR28.2,58837,2533
,66105,3138
,60867,3547
ANPR08.35 ANPR28.3,58837,2533
,66105,3138
,60867,3547
ANPR08.35 ANPR28.4,58837,2533
,66105,3138
,60867,3547
ANPR08.35 ANPR29.1,6933,804
