YL1FRV6T,02-01-2020,00:58:16,ANPR4.1,51.138 -7.515,Audi,A3,RED,62 
8ZJH4SZU,02-01-2020,01:05:41,ANPR4.1,50.881 -7.515,Toyota,Camry,RED,34 
ITOBPJEX,02-01-2020,01:12:51,ANPR4.1,51.003 -7.55,Audi,321,GREEN,47 
I6K8TZ6E,02-01-2020,01:28:46,ANPR4.1,50.873 -7.6,Volkswagen,Polo,BLUE,59 
8EDMJENE,02-01-2020,01:41:36,ANPR4.1,51.132 -7.598,Volkswagen,321,GREEN,43 
S25XRPAE,02-01-2020,01:42:46,ANPR4.1,50.849 -7.422,Toyota,321,BLACK,50 
AK8R2WCK,02-01-2020,02:02:21,ANPR4.1,51.23 -7.571,BMW,Mustang,WHITE,43 
GSDV0REY,02-01-2020,02:10:50,ANPR4.1,51.489 -7.515,Mercedes,Polo,RED,50 
IETDUPP6,02-01-2020,02:27:49,ANPR4.1,51.362 -7.565,Volkswagen,Mustang,GREEN,22 
2UOQTPHG,02-01-2020,02:48:02,ANPR4.1,50.773 -7.522,Mercedes,A3,SILVER,25 
UCLI7C72,02-01-2020,03:04:41,ANPR4.1,51.518 -7.605,Toyota,Mustang,BLACK,60 
UG8A4DHV,02-01-2020,03:30:09,ANPR4.1,51.529 -7.659,Ford,Polo,BLUE,42 
PPZW6OWP,02-01-2020,03:30:51,ANPR4.1,50.812 -7.533,Toyota,321,WHITE,60 
2N8X1PMW,02-01-2020,03:41:08,ANPR4.1,51.355 -7.674,Mercedes,Polo,BLUE,63 
R8D303QR,02-01-2020,03:43:27,ANPR4.1,51.423 -7.503,Volkswagen,Mustang,BLACK,45 
2BA2UHID,02-01-2020,04:12:01,ANPR4.1,50.88 -7.602,Toyota,C200,WHITE,59 
0BSP1BER,02-01-2020,04:13:40,ANPR4.1,51.169 -7.639,BMW,Mustang,BLUE,26 
4DLBS3RO,02-01-2020,04:21:01,ANPR4.1,51.022 -7.547,BMW,Camry,BLUE,64 
LOEHUD78,02-01-2020,04:27:19,ANPR4.1,50.81 -7.595,Audi,A3,BLACK,50 
7PUNGDI0,02-01-2020,04:32:44,ANPR4.1,51.014 -7.507,Toyota,Polo,WHITE,46 
CPMGGCE5,02-01-2020,05:02:23,ANPR4.1,51.489 -7.613,BMW,A3,RED,21 
ANDB5G1P,02-01-2020,05:02:47,ANPR4.1,51.448 -7.614,Ford,Mustang,BLACK,47 
DR6FUPAG,02-01-2020,05:17:43,ANPR4.3,51.053 -7.566,BMW,Polo,BLUE,65 
4D2L0A65,02-01-2020,05:17:47,ANPR4.3,51.124 -7.525,Audi,321,SILVER,35 
131MO1NL,02-01-2020,05:57:10,ANPR4.3,51.54 -7.686,BMW,Polo,WHITE,41 
LZTR6OLW,02-01-2020,06:07:36,ANPR4.3,51.185 -7.587,Volkswagen,A3,GREEN,43 
THRQEMD0,02-01-2020,06:26:33,ANPR4.3,50.937 -7.447,Volkswagen,Mustang,SILVER,27 
